timestamp	commit	metric	value	status	description
2026-05-01T23:00	e598ab9	test_pass_rate	4/4	keep	Initial openclaw-langgraph-bridge package: createOpenClawNode, OpenClawClient, sequentialRouter, conditionalRouter
2026-05-03T23:00	4c8ef4f	test_pass_rate	6/6	keep	Add retry with exponential backoff to createOpenClawNode
2026-05-04T23:00	8ccbf6d	test_pass_rate	10/10	keep	conditionalRouter unit tests + LangGraph conditional branching integration test
2026-05-05T23:00	04b2f86	test_pass_rate	11/11	keep	mergeResults utility + parallel fan-out integration test
2026-05-06T23:00	d1a831f	test_pass_rate	18/18	keep	validateState + withValidation: field/type/custom validation + node wrapper guard
2026-05-07T23:00	d42e423	test_pass_rate	26/26	keep	withFallback + mapState: error recovery wrapper + state field mapping utility
2026-05-08T23:00	b6cdef9	test_pass_rate	31/31	keep	withTimeout: node timeout guard with fallback state
2026-05-09T23:00	2060985	test_pass_rate	38/38	keep	withRetry: node retry wrapper with exponential backoff + onRetry callback
2026-05-10T23:00	fb39fc3	test_pass_rate	44/44	keep	pipeline: sequential node composition + continueOnError + completedSteps accumulation
2026-05-12T21:00	5c09847	test_pass_rate	52/52	keep	batch(): parallel node execution with concurrency limit
2026-05-12T21:10	350430f	test_pass_rate	60/60	keep	switchRoute(): multi-branch conditional routing with predicates
2026-05-12T21:20	1bb6eb3	test_pass_rate	72/72	keep	transform(): pick/omit/rename/defaults/compose state utilities
2026-05-12T21:30	bc1aec3	test_pass_rate	78/78	keep	withRateLimit(): sliding window rate limiting wrapper
2026-05-14T19:10	719dfdb	test_count	94/94	keep	withCache (memoization + TTL + maxSize eviction + custom keyFn + stats) + aggregate/mergeAll/collectAll (reduce partial states). +16 tests (78→94).
2026-05-14T23:00	6a895bb	test_pass_rate	102/102	keep	withMiddleware: composable middleware chain for node wrappers (left-to-right, short-circuit, retry pattern). 8 tests (94→102).
2026-05-15T23:00	f7b28c4	test_count	108/108	keep	loop(): conditional loop node with until predicate + maxIterations guard. 6 tests (102→108).
2026-05-16T23:00	3d6caaf	test_pass_rate	114/114	keep	subgraph(): composable sub-graph with input/output state mapping + error isolation
